,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths
Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,10,47,49,32,24,36,40,22,32,46,25,,0,,,,,
Algeria,0,0,0,0,0,0,0,1,0,0,,,,,,,1,2
Angola,13967,15997,7832,5714,7300,5736,6909,8114,10530,9465,9812,10220,13768,12459,38598,14434,9473,9510
Argentina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,13,17,9,45,15,11,36,37,47,154,228,508,501,505,574,598,470,484
Belize,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0
Benin,2182,1646,1416,1869,2288,2261,1753,964,1375,918,1290,1226,322,944,560,707,468,
Bhutan,1,0,0,0,0,1,1,2,4,2,2,7,5,7,14,11,14,15
Bolivia (Plurinational State of),0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,0,11
Botswana,17,3,5,22,7,3,8,8,6,12,6,40,11,19,18,23,29,
Brazil,30,35,35,36,40,60,70,76,85,68,93,110,123,102,104,95,142,245
Burkina Faso,4144,3974,5379,5632,6294,7963,7001,9024,7982,7834,6472,8083,5224,4205,4860,4032,4233,
Burundi,4414,5853,3799,2974,3411,2263,2233,2677,1183,595,167,434,776,689,425,483,417,691
Cabo Verde,2,1,0,1,0,0,1,1,2,2,2,8,2,4,4,2,0,
Cambodia,1,3,10,18,12,45,94,151,279,209,241,396,296,382,492,457,476,608
Cameroon,3195,2639,3440,4398,4349,3209,3808,4536,4943,7673,1811,930,836,,,,,
Central African Republic,3689,2668,1763,635,1026,1442,858,526,667,456,578,865,668,859,417,,535,439
Chad,2088,1686,1572,1720,1881,1359,1220,886,221,1018,617,837,558,13,1021,98,957,712
China,7,15,20,0,0,0,33,19,10,23,18,37,48,31,52,42,27,31
Colombia,19,36,18,17,10,24,23,42,28,54,68,77,87,126,118,162,168,124
Comoros,3,0,1,0,15,17,19,53,,47,20,56,92,28,,,,
Congo,229,733,435,271,2870,623,892,,116,143,113,,,,,,,
Costa Rica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CÌ«te d'Ivoire,3222,3340,2604,4069,3261,1534,1389,1023,18156,1249,797,,,,,,,
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Democratic Republic of the Congo,27458,33997,39054,25502,30918,21601,23748,23476,21168,17940,14372,12970,15322,13613,989,2152,416,3856
Djibouti,,5,23,28,17,0,0,0,0,,1,29,,,,,,
Dominican Republic,1,2,3,4,5,8,10,15,14,11,17,10,16,16,12,11,17,6
Ecuador,1,0,0,0,0,0,0,0,6,5,8,9,22,37,46,64,84,66
Egypt,,,,,,,4,2,2,2,0,0,,,,,,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,109,28,,66,77,52,30,23,4,,,,,,,,
Eritrea,8,21,12,15,6,30,12,27,23,19,42,47,49,24,79,86,133,
Eswatini,20,3,5,,4,3,1,8,13,10,17,27,17,28,30,46,62,
Ethiopia,356,510,662,213,358,1621,936,1581,1121,1169,991,1357,1086,3327,2138,1607,1681,
Gabon,218,101,309,159,273,134,74,182,197,156,216,238,353,466,692,1141,1693,2016
Gambia,54,79,167,170,262,289,440,151,240,403,424,150,426,153,192,259,275,
Georgia,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,599,1264,2137,2200,2506,2855,3259,3859,3378,3889,4622,3125,2037,1575,2103,2376,1717,6108
Guatemala,0,0,1,1,1,0,0,0,0,0,3,2,4,2,0,0,0,0
Guinea,1174,867,846,1067,108,979,743,735,586,441,472,,490,528,586,440,517,626
Guinea-Bissau,296,191,477,357,418,370,472,296,369,487,370,507,565,565,1137,780,635,
Guyana,11,13,12,11,14,35,36,24,20,11,20,20,33,38,44,28,30,29
Haiti,12,13,15,9,10,6,5,8,7,17,28,32,29,24,109,77,70,16
Honduras,1,0,0,2,1,1,2,3,1,2,2,0,1,0,0,0,0,0
India,194,331,384,562,440,519,754,1018,1144,1055,1311,1708,963,949,1006,973,1015,892
Indonesia,47,161,157,217,385,252,388,432,900,669,,494,88,508,,,,833
Iran (Islamic Republic of),1,0,1,0,0,0,0,0,,3,3,1,1,1,5,2,2,4
Iraq,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Kenya,,603,15061,472,360,785,713,26017,,,,40079,44328,25403,51842,47697,48286,48767
Kyrgyzstan,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,2,1,2,4,28,44,17,24,5,11,14,21,77,105,187,195,242,350
Liberia,758,1259,1379,2288,1191,1725,,1422,1706,345,310,877,41,,,,,
Madagascar,370,443,841,551,641,552,398,427,348,355,428,441,699,715,817,575,742,591
Malawi,3613,4000,3799,4490,3723,5516,6674,8206,8915,8048,7486,6464,5070,3457,4767,5775,3355,
Malaysia,12,2,4,4,10,12,12,13,23,20,15,21,33,35,21,38,46,35
Mali,1050,1344,1544,2309,1680,1894,2128,3006,2331,1227,1782,1914,1285,1012,1309,826,562,748
Mauritania,67,315,39,19,46,106,66,60,91,,142,67,,,,,,
Mexico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,,,,0,,,2,1,1,2,2,1,,,,,
Mozambique,1114,1685,2467,3245,2941,2818,3086,3354,3747,4424,5816,,,,,,,
Myanmar,30,21,37,92,236,403,581,788,972,1087,1261,1647,1707,1982,2476,2634,2814,2556
Namibia,104,65,45,61,21,4,36,63,68,152,181,571,1325,1185,1106,1504,1728,
Nepal,3,3,0,0,0,0,2,6,8,,3,42,10,7,5,3,1,
Nicaragua,,2,1,0,0,2,1,1,0,0,0,1,6,1,7,8,2,4
Niger,2316,2226,2778,2691,2209,2825,2802,3929,2159,2461,1358,1150,2060,1333,2248,2769,2366,1244
Nigeria,,,,6082,7878,7734,3353,4238,7522,8677,10289,6586,6494,6032,5343,4092,4317,
Oman,,,,0,0,0,0,0,2,2,0,0,0,,,,,
Pakistan,113,33,34,56,244,260,4,,,,24,9,52,,,,,
Panama,0,0,0,0,0,1,0,1,0,1,1,1,1,2,4,2,1,1
